date_configured,time_configured,name_of_person_configuring,recorder_id,notes
2025-02-03,08:57:00.000-04:00,Robert Grant,36,
2025-02-03,09:07:00.000-04:00,Robert Grant,37,
2025-02-03,09:23:00.000-04:00,Robert Grant,38,
2025-02-21,09:11:00.000-04:00,Robert Grant,28,
2025-02-21,08:22:00.000-04:00,Robert Grant,7,
2025-02-21,08:29:00.000-04:00,Robert Grant,22,
2025-02-21,08:45:00.000-04:00,Robert Grant,24,
2025-02-21,11:06:00.000-04:00,Robert Grant,23,
2025-02-21,11:16:00.000-04:00,Robert Grant,26,
2025-02-28,08:59:00.000-04:00,Robert Grant,1,
2025-02-28,09:16:00.000-04:00,Robert Grant,3,
2025-02-28,10:10:00.000-04:00,Robert Grant,14,
2025-03-07,10:07:00.000-04:00,Robert Grant,5,
2025-03-07,09:47:00.000-04:00,Robert Grant,31,
2025-03-07,10:06:00.000-04:00,Robert Grant,4,
2025-03-07,10:50:00.000-04:00,Robert Grant,29,
2025-03-07,11:06:00.000-04:00,Robert Grant,30,
2025-03-07,11:15:00.000-04:00,Robert Grant,32,
2025-03-10,09:28:00.000-04:00,Robert Grant,43,
2025-03-10,09:38:00.000-04:00,Robert Grant,44,
2025-03-10,09:49:00.000-04:00,Robert Grant,45,
2025-03-10,08:41:00.000-04:00,Robert Grant,39,
2025-03-10,09:00:00.000-04:00,Robert Grant,40,
2025-03-10,09:09:00.000-04:00,Robert Grant,41,
2025-03-10,09:16:00.000-04:00,Robert Grant,42,
2025-03-25,08:24:00.000-04:00,Robert Grant,37,
2025-03-28,09:03:00.000-04:00,Robert Grant,48,
2025-03-28,09:20:00.000-04:00,Robert Grant,46,
2025-03-28,09:23:00.000-04:00,Robert Grant,50,
2025-03-28,09:48:00.000-04:00,Robert Grant,49,
2025-03-31,08:13:00.000-04:00,Robert Grant,13,
2025-03-31,08:35:00.000-04:00,Robert Grant,33,
2025-03-31,08:54:00.000-04:00,Robert Grant,34,
2025-03-31,09:18:00.000-04:00,Robert Grant,36,
2025-04-01,09:05:00.000-04:00,Robert Grant,24,
2025-04-01,09:18:00.000-04:00,Robert Grant,26,
2025-04-01,09:27:00.000-04:00,Robert Grant,28,
2025-04-01,08:28:00.000-04:00,Robert Grant,7,
2025-04-01,08:38:00.000-04:00,Robert Grant,8,
2025-04-01,08:49:00.000-04:00,Robert Grant,22,
2025-04-01,08:52:00.000-04:00,Robert Grant,23,
2025-04-11,11:15:00.000-04:00,Robert Grant,47,
2025-04-24,10:36:00.000-04:00,Robert Grant,14,
2025-04-24,09:27:00.000-04:00,Robert Grant,1,
2025-04-24,09:40:00.000-04:00,Robert Grant,3,
2025-04-24,09:53:00.000-04:00,Robert Grant,4,
2025-04-24,10:03:00.000-04:00,Robert Grant,5,
2025-05-02,08:54:00.000-04:00,Robert Grant,18,
2025-05-02,09:05:00.000-04:00,Robert Grant,48,
2025-05-02,09:10:00.000-04:00,Robert Grant,49,
2025-05-02,09:46:00.000-04:00,Robert Grant,50,
2025-05-08,09:17:00.000-04:00,Robert Grant,23,
2025-05-08,09:29:00.000-04:00,Robert Grant,24,
2025-05-08,09:38:00.000-04:00,Robert Grant,26,
2025-05-08,09:45:00.000-04:00,Robert Grant,28,
2025-05-08,08:52:00.000-04:00,Robert Grant,7,
2025-05-08,09:05:00.000-04:00,Robert Grant,8,
2025-05-08,09:07:00.000-04:00,Robert Grant,22,
2025-05-15,09:05:00.000-04:00,Robert Grant,15,
2025-05-15,09:46:00.000-04:00,Robert Grant,32,
2025-05-15,10:06:00.000-04:00,Robert Grant,33,
2025-05-16,11:00:00.000-04:00,Robert Grant,44,
2025-05-16,11:16:00.000-04:00,Robert Grant,45,
2025-05-16,11:17:00.000-04:00,Robert Grant,13,
2025-05-16,11:19:00.000-04:00,Robert Grant,29,
2025-05-16,08:40:00.000-04:00,Robert Grant,34,error_could_not_configure
2025-05-16,08:56:00.000-04:00,Robert Grant,36,
2025-05-16,09:14:00.000-04:00,Robert Grant,37,
2025-05-16,09:27:00.000-04:00,Robert Grant,39,
2025-05-16,09:44:00.000-04:00,Robert Grant,40,error_could_not_configure
2025-05-16,10:06:00.000-04:00,Robert Grant,41,
2025-05-16,10:25:00.000-04:00,Robert Grant,42,
2025-05-16,10:47:00.000-04:00,Robert Grant,43,
2025-06-03,09:51:00.000-04:00,Robert Grant,1,
2025-06-03,10:13:00.000-04:00,Robert Grant,3,
2025-06-03,10:29:00.000-04:00,Robert Grant,4,
2025-06-03,10:49:00.000-04:00,Robert Grant,14,
2025-06-06,08:59:00.000-04:00,Robert Grant,46,
2025-06-06,09:04:00.000-04:00,Robert Grant,47,
2025-06-06,09:31:00.000-04:00,Robert Grant,49,
2025-06-06,09:49:00.000-04:00,Robert Grant,48,
2025-06-06,09:50:00.000-04:00,Robert Grant,50,
2025-06-06,08:50:00.000-04:00,Robert Grant,5,
2025-06-13,12:28:00.000-04:00,Robert Grant,23,error_could_not_configure
2025-06-13,12:32:00.000-04:00,Robert Grant,24,
2025-06-13,12:46:00.000-04:00,Robert Grant,26,
2025-06-13,11:42:00.000-04:00,Robert Grant,7,error_could_not_configure
2025-06-13,11:56:00.000-04:00,Robert Grant,8,
2025-06-13,12:19:00.000-04:00,Robert Grant,22,
2025-06-18,09:00:00.000-04:00,Robert Grant,13,
2025-06-18,09:14:00.000-04:00,Robert Grant,21,
2025-06-18,09:29:00.000-04:00,Robert Grant,29,
2025-06-18,09:48:00.000-04:00,Robert Grant,30,
2025-06-18,09:57:00.000-04:00,Robert Grant,32,error_could_not_configure
2025-06-18,10:17:00.000-04:00,Robert Grant,33,error_could_not_configure
2025-06-18,11:33:00.000-04:00,Robert Grant,36,
2025-06-18,11:49:00.000-04:00,Robert Grant,15,
2025-06-18,11:56:00.000-04:00,Robert Grant,37,
2025-06-20,11:30:00.000-04:00,Robert Grant,43,
2025-06-20,11:39:00.000-04:00,Robert Grant,44,
2025-06-20,11:53:00.000-04:00,Robert Grant,45,
2025-06-20,10:55:00.000-04:00,Robert Grant,16,
2025-06-20,11:05:00.000-04:00,Robert Grant,17,
2025-06-20,11:22:00.000-04:00,Robert Grant,42,
