start,end,Date,Time,Range,Data collector Central,Other name,Data collector Leeward,Other name,Data collector Windward North,Other name,Data collector Windward South,Other name,GPS Number ,Survey Point Number (Example: PO1 or PO2). See the table and protocol to find the point. This is the location you navigated to using your GPS at the start of the trail.,"Waypoint Number: Press ""MARK"" on your GPS to create a waypoint. Change the name to 'Survey Point Number' followed by 'Location'. For example",,,,,,,,,,,,AudioMoth Number,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-13 12:13:37.852000-04:00,2024-11-13 12:20:00.235000-04:00,11/13/2024,12:13:00.000-04:00,Windward South,,,,,,,Ian Christopher,,3,,PO 14 Jen,N13°15.8899,W061°09.4604,360,,Tropical Montane Forest ,1,0,0,0,,Deployed,34,Yes,,Yes,,Done,,,,,OK,,1731514795569.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F326cb5a6-655d-4e94-a3d7-a2a51669795f%2F1731514795569.jpg,,407819645,326cb5a6-655d-4e94-a3d7-a2a51669795f,11/13/2024 18:14,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,19
2024-11-14 07:38:22.892000-04:00,2024-11-14 08:01:11.366000-04:00,11/14/2024,07:38:00.000-04:00,Windward South,,,,,,,Romano Pierre,,3,Po17,PO17BSTONE,N13 14.1829,W061 09.4285,391,Yes (it is saved),Tropical Montane Forest ,1,0,0,0,,Deployed,37,Yes,,Yes,,Done,Place behind bobby Stone,,,,OK,OK,1731585662419.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F70112673-3901-4809-a837-7cd666b50035%2F1731585662419.jpg,,408152427,70112673-3901-4809-a837-7cd666b50035,11/14/2024 12:01,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,20
2024-11-14 10:38:56.142000-04:00,2024-11-14 10:49:06.007000-04:00,11/14/2024,10:38:00.000-04:00,Windward South,,,,,,,Romano Pierre,,3,PO18,PO18TIB,N13 13.2940,W061 10.9907,548,Yes (it is saved),Forestry Planation Tropical Montane Forest ,1,0,1,0,,Deployed,38,Yes,,Yes,,Done,It was place on the inside of the tibbro trail on ablue mahoe tree,,,,OK,OK,1731595720977.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F067b0b73-0414-4879-8b40-d681ceb54f80%2F1731595720977.jpg,,408292613,067b0b73-0414-4879-8b40-d681ceb54f80,11/14/2024 15:52,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,21
2024-11-18 09:31:04.897000-05:00,2024-11-18 10:32:20.804000-05:00,11/18/2024,09:31:00.000-05:00,Windward North,,,,,Rawl Baptiste,,,,2,,Po7B Range,1318.9386,061.09.1575,385,,Forestry Planation,0,0,1,0,,Deployed,27,Yes,,Yes,,Done,,,,,OK,,1731942763125.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F30d75e8b-1675-4832-a3a1-25e7637b7d37%2F1731942763125.jpg,,409909324,30d75e8b-1675-4832-a3a1-25e7637b7d37,11/18/2024 16:24,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,22
2024-11-08 09:18:34.748000-04:00,2024-11-18 09:55:26.882000-04:00,11/18/2024,09:42:00.000-04:00,Central,Glen Grant,,,,,,,,1,,Po21 herbert,N13 10.7318,W 061 12.2170,364,,Tropical Montane Forest ,1,0,0,0,,Deployed,41,Yes,,Yes,,Done,,,,,OK,,,,,409934188,ec027531-7385-4ea4-8c2d-92b129725912,11/18/2024 17:15,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,23
2024-11-18 10:49:22.010000-04:00,2024-11-18 11:04:46.342000-04:00,11/18/2024,10:49:00.000-04:00,Central,Ansaki Roberts,,,,,,,,1,,Po22 murray,N13 11.3080,W 061 12.4516,455,,Tropical Montane Forest  Farmland,1,1,0,0,,Deployed,42,Yes,,Yes,,Done,,,,,OK,,,,Mounted on Spanish ash tree,409934193,ce71b870-5ccc-440f-9cfd-14854a5402f5,11/18/2024 17:15,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,24
2024-11-19 10:37:18.470000-04:00,2024-11-19 10:53:39.841000-04:00,11/19/2024,10:37:00.000-04:00,Windward South,,,,,,,Romano Pierre,,3,PO15,PO15 Locust,N 13 15 .2620,W 061 09 .3625,346,Yes (it is saved),Tropical Montane Forest  Forestry Planation,1,0,1,0,,Deployed,35,Yes,,Yes,,Done,Locate opposit of a figue tree.,,,,OK,OK,1732028006518.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Ffdffb871-f94a-4745-b3e3-39c1f14cec34%2F1732028006518.jpg,,410350141,fdffb871-f94a-4745-b3e3-39c1f14cec34,11/19/2024 15:37,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,25
2024-11-20 10:06:52.202000-05:00,2024-11-20 10:28:04.169000-05:00,11/20/2024,10:06:00.000-05:00,Leeward,,,Verlisha Bulbs,,,,,,4,PO34,PO34JOHNSON MOUNTAIN ,13° 14. 1745,061° 14.5021,385,Yes (it is saved),Tropical Montane Forest ,1,0,0,0,,Deployed,4,Yes,,Yes,,Done,Po 34 Johnson located along  Parrot Gap watch about 50m from mango trees on vacant farmland up a 70 degree slope. Audiomoth is located on a juvenile SpanishAsh tree.,,,,OK,OK,1732116115834.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F15aee32b-e01e-4788-8a57-bd63c3dbae7a%2F1732116115834.jpg,,410806533,15aee32b-e01e-4788-8a57-bd63c3dbae7a,11/20/2024 14:28,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,26
2024-11-20 12:36:05.743000-05:00,2024-11-20 12:45:43.903000-05:00,11/20/2024,12:36:00.000-05:00,Leeward,,,Verlisha Bulbs,,,,,,4,PO35,PO35LAYOU MOUNTAIN ,13°13.0565,061° 14.0279,529,Yes (it is saved),Tropical Montane Forest ,1,0,0,0,,Deployed,5,Yes,,Yes,,Done,The top of Cocoa farmlands in layou. ,,,,OK,OK,1732124650197.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F14c5452f-3631-41a5-9f82-f778ab43f0c0%2F1732124650197.jpg,,410942775,14c5452f-3631-41a5-9f82-f778ab43f0c0,11/20/2024 19:17,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,27
2024-11-19 11:09:57.548000-04:00,2024-11-19 11:23:38.236000-04:00,11/19/2024,11:09:00.000-04:00,richmond,,,,,,,,,4,,29,N13 15.9623,W061 13.0381,5146,,Tropical Montane Forest ,1,0,0,0,,Deployed,49,Yes,,Yes,,Done,,,,,,,1732029801784.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Ffd113675-6473-4ff9-81aa-4e5bf24da340%2F1732029801784.jpg,,411267895,fd113675-6473-4ff9-81aa-4e5bf24da340,11/21/2024 13:51,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,28
2024-11-21 08:37:12.232000-04:00,2024-11-21 08:49:12.407000-04:00,11/21/2024,08:37:00.000-04:00,richmond,,,,,,,,,4,,30,061 14.3002,13 16.6536,214,,Tropical Montane Forest ,1,0,0,0,,Deployed,50,Yes,,Yes,,Done,,,,,,,1732193346791.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fd8de9080-b096-4e4c-8577-34d331fd7923%2F1732193346791.jpg,,411267931,d8de9080-b096-4e4c-8577-34d331fd7923,11/21/2024 13:51,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,29
2024-11-21 10:10:11.016000-04:00,2024-11-21 10:37:45.304000-04:00,11/21/2024,10:10:00.000-04:00,Windward South,,,,,,,Romano Pierre,,3,PO16 ,PO16SL.SPOON,N 13 14 .4274,W 061 10 . 0999,430,Yes (it is saved),Tropical Montane Forest  Forestry Planation,1,0,1,0,,Deployed,36,Yes,,Yes,,Done,On a penny peace tree,,,,OK,OK,1732199858417.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fa833c8fe-7ecf-44ac-becd-7b3e85d95dd0%2F1732199858417.jpg,,411290726,a833c8fe-7ecf-44ac-becd-7b3e85d95dd0,11/21/2024 14:39,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,30
2024-11-21 10:45:44.488000-05:00,2024-11-21 11:00:42.775000-05:00,11/21/2024,10:45:00.000-05:00,Windward North,,,,,Rawl Baptiste,,,,2,,Po4wergry,1320.7233,6108.3777,258,,Farmland,0,1,0,0,,Deployed,24,Yes,,Yes,,Done,,,,,OK,,1732204830739.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fcde57aa6-2402-47c9-a118-65e71ae4c92c%2F1732204830739.jpg,,411393254,cde57aa6-2402-47c9-a118-65e71ae4c92c,11/21/2024 18:09,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,31
2024-11-22 10:59:58.947000-05:00,2024-11-22 11:14:08.543000-05:00,11/22/2024,10:59:00.000-05:00,Windward North,,,,,Arnos Lorraine,,,,2,,Po8 palm Break Soufriere ,1319.3126,6109.9292,575,,Tropical Montane Forest ,1,0,0,0,,Deployed,28,Yes,,Yes,,Done,,,,,OK,,1732292039821.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F46ba6be8-0899-4880-8677-f1cd63082800%2F1732292039821.jpg,,411934935,46ba6be8-0899-4880-8677-f1cd63082800,11/23/2024 3:19,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,32
2024-11-24 18:00:50.436000-05:00,2024-11-24 18:15:10.470000-05:00,11/24/2024,18:00:00.000-05:00,Windward North,,,,,Rawl Baptiste,,,,2,,Po2Sutherkand Ridge,1322.3911,061.09.4068,297,,Tropical Montane Forest ,1,0,0,0,,Deployed,22,Yes,,Yes,,Done,,,,,OK,,1732490086902.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F752cb16f-67c7-448f-954c-4bde4a3d531c%2F1732490086902.jpg,,412468689,752cb16f-67c7-448f-954c-4bde4a3d531c,11/24/2024 23:12,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,33
2024-11-25 09:22:24.531000-04:00,2024-11-25 15:44:54.569000-04:00,11/25/2024,09:22:00.000-04:00,Central,Glen Grant,,,,,,,,1,,Po24 lori,N13 12.8723,W 061 12.7555,365,,Forestry Planation,0,0,1,0,,Deployed,44,Yes,,Yes,,Done,,,,,OK,,1732541486821.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fa43252d3-0a75-41ba-9f06-72c78e11d527%2F1732541486821.jpg,,412862548,a43252d3-0a75-41ba-9f06-72c78e11d527,11/25/2024 19:45,,,submitted_via_web,svg_forestry,vr7RydL2FsabbQVyGaAw2i,,34
2024-11-27 11:46:19.095000-04:00,2024-11-27 11:57:39.864000-04:00,11/27/2024,11:46:00.000-04:00,Windward North,,,,,Leon Matthews,,,,2,P03 ,P03Owia,N 13' 21.8288,W 061' 08.8849,300,Yes (it is saved),Tropical Montane Forest ,1,0,0,0,,Deployed,23,Yes,,Yes,,Done,Bottom town ridge,,,,OK,OK,1732723044301.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F14448ec8-a5a9-4007-8270-4c2498c2dad4%2F1732723044301.jpg,,413796437,14448ec8-a5a9-4007-8270-4c2498c2dad4,11/27/2024 20:48,,,submitted_via_web,svg_forestry,vzyTjZyf8SEuwhnoXRMrwc,,35
2024-12-06 09:00:05.563000-04:00,2024-12-06 09:09:53.017000-04:00,12/6/2024,09:00:00.000-04:00,Central,Ansaki Roberts,,,,,,,,,,,,,,,Forestry Planation,0,0,1,0,,Removed,45,Yes,,,,,,Yes,,,,,1733490583915.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F15f084c3-8875-42d2-9fef-03dd0f15eb6c%2F1733490583915.jpg,,417327920,15f084c3-8875-42d2-9fef-03dd0f15eb6c,12/6/2024 22:45,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,36
2024-12-06 10:32:43.676000-04:00,2024-12-06 10:37:20.153000-04:00,12/6/2024,10:32:00.000-04:00,Central,Ansaki Roberts,,,,,,,,,,43,,,,,Tropical Montane Forest ,1,0,0,0,,Removed,43,Yes,,,,,,Yes,,,,,1733495677133.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2F660d61ea-9f8a-4415-a787-95d5bb22b27e%2F1733495677133.jpg,,417327926,660d61ea-9f8a-4415-a787-95d5bb22b27e,12/6/2024 22:45,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,37
2024-12-06 12:07:10.913000-04:00,2024-12-06 12:11:37.320000-04:00,12/6/2024,12:07:00.000-04:00,Central,Ansaki Roberts,,,,,,,,,,,,,,,Tropical Montane Forest ,1,0,0,0,,Removed,40,Yes,,,,,,Yes,,,,,1733501330386.jpg,https://kc.kobotoolbox.org/media/original?media_file=asabol%2Fattachments%2Fe18758d6e8594a06b2e0529dffdab11e%2Fcf6863ef-e8e4-4ab5-a202-d29b9a9af5e9%2F1733501330386.jpg,,417327930,cf6863ef-e8e4-4ab5-a202-d29b9a9af5e9,12/6/2024 22:45,,,submitted_via_web,svg_forestry,vuqMBByNzFJjKto4UkoM2B,,38
